"age","workclass","education_num","occupation","capital_gain","capital_loss","hours_per_week","sex","group","race","relationship","marital_status","native_country","income","y","source_file","row_id"
39,"State-gov",13,"Adm-clerical",2174,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",1
50,"Self-emp-not-inc",13,"Exec-managerial",0,0,13,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",2
38,"Private",9,"Handlers-cleaners",0,0,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",3
53,"Private",7,"Handlers-cleaners",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",4
28,"Private",13,"Prof-specialty",0,0,40,"Female","Female","Black","Wife","Married-civ-spouse","Cuba","<=50K",0,"adult.data",5
37,"Private",14,"Exec-managerial",0,0,40,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.data",6
49,"Private",5,"Other-service",0,0,16,"Female","Female","Black","Not-in-family","Married-spouse-absent","Jamaica","<=50K",0,"adult.data",7
52,"Self-emp-not-inc",9,"Exec-managerial",0,0,45,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",8
31,"Private",14,"Prof-specialty",14084,0,50,"Female","Female","White","Not-in-family","Never-married","United-States",">50K",1,"adult.data",9
42,"Private",13,"Exec-managerial",5178,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",10
37,"Private",10,"Exec-managerial",0,0,80,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",11
30,"State-gov",13,"Prof-specialty",0,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","India",">50K",1,"adult.data",12
23,"Private",13,"Adm-clerical",0,0,30,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",13
32,"Private",12,"Sales",0,0,50,"Male","Male","Black","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",14
40,"Private",11,"Craft-repair",0,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","Missing",">50K",1,"adult.data",15
