"variable","data_type","unique_values","missing_count","missing_rate"
"age","numeric",74,0,0
"workclass","factor",7,0,0
"education_num","numeric",16,0,0
"occupation","factor",14,0,0
"capital_gain","numeric",121,0,0
"capital_loss","numeric",97,0,0
"hours_per_week","numeric",96,0,0
"sex","factor",2,0,0
"group","factor",2,0,0
"race","factor",5,0,0
"relationship","factor",6,0,0
"marital_status","factor",7,0,0
"native_country","factor",42,0,0
"income","factor",2,0,0
"y","integer",2,0,0
"source_file","factor",2,0,0
"row_id","integer",46033,0,0
