"age","workclass","education_num","occupation","capital_gain","capital_loss","hours_per_week","sex","group","race","relationship","marital_status","native_country","income","y","source_file","row_id","set_type","bias_level"
44,"Private",5,"Machine-op-inspct",0,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",17497,"train_balanced","balanced"
39,"Private",14,"Prof-specialty",7688,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",6103,"train_balanced","balanced"
24,"Private",13,"Exec-managerial",0,0,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.test",43768,"train_balanced","balanced"
35,"Self-emp-not-inc",13,"Craft-repair",0,0,45,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",28277,"train_balanced","balanced"
59,"Private",9,"Other-service",0,0,10,"Female","Female","White","Not-in-family","Widowed","United-States","<=50K",0,"adult.data",15958,"train_balanced","balanced"
37,"Private",13,"Adm-clerical",0,0,40,"Female","Female","Black","Not-in-family","Never-married","United-States","<=50K",0,"adult.test",42297,"train_balanced","balanced"
27,"Private",13,"Prof-specialty",0,0,40,"Male","Male","Asian-Pac-Islander","Not-in-family","Separated","Philippines",">50K",1,"adult.data",7218,"train_balanced","balanced"
31,"Private",11,"Handlers-cleaners",0,0,40,"Female","Female","White","Unmarried","Divorced","United-States","<=50K",0,"adult.data",30053,"train_balanced","balanced"
56,"Private",13,"Other-service",0,0,40,"Female","Female","White","Not-in-family","Widowed","United-States","<=50K",0,"adult.data",5604,"train_balanced","balanced"
27,"Private",10,"Adm-clerical",0,0,30,"Female","Female","Black","Unmarried","Never-married","United-States","<=50K",0,"adult.test",42867,"train_balanced","balanced"
44,"State-gov",14,"Prof-specialty",0,0,60,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",1740,"train_balanced","balanced"
20,"Private",5,"Transport-moving",0,0,35,"Male","Male","White","Unmarried","Never-married","United-States","<=50K",0,"adult.test",35168,"train_balanced","balanced"
27,"Private",9,"Craft-repair",3325,0,40,"Male","Male","Black","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",23384,"train_balanced","balanced"
25,"Private",7,"Other-service",0,0,99,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",14323,"train_balanced","balanced"
52,"Private",10,"Adm-clerical",0,0,45,"Female","Female","White","Unmarried","Divorced","United-States","<=50K",0,"adult.data",17894,"train_balanced","balanced"
60,"Private",13,"Prof-specialty",4386,0,84,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",34471,"train_balanced","balanced"
32,"Local-gov",11,"Prof-specialty",0,0,40,"Female","Female","Black","Unmarried","Divorced","United-States","<=50K",0,"adult.test",43190,"train_balanced","balanced"
35,"Private",14,"Prof-specialty",13550,0,55,"Male","Male","White","Not-in-family","Never-married","Missing",">50K",1,"adult.data",6134,"train_balanced","balanced"
58,"State-gov",9,"Exec-managerial",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",1411,"train_balanced","balanced"
36,"Private",9,"Adm-clerical",0,0,40,"Female","Female","White","Unmarried","Divorced","United-States","<=50K",0,"adult.data",27147,"train_balanced","balanced"
25,"Federal-gov",13,"Adm-clerical",0,1590,40,"Female","Female","Black","Unmarried","Never-married","United-States","<=50K",0,"adult.test",31349,"train_balanced","balanced"
31,"Self-emp-inc",10,"Exec-managerial",0,0,70,"Female","Female","Asian-Pac-Islander","Wife","Married-civ-spouse","South","<=50K",0,"adult.data",5763,"train_balanced","balanced"
53,"Private",9,"Craft-repair",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",13033,"train_balanced","balanced"
34,"Private",10,"Other-service",0,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","Philippines","<=50K",0,"adult.data",19469,"train_balanced","balanced"
29,"Private",9,"Tech-support",0,0,45,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.test",32957,"train_balanced","balanced"
45,"Private",13,"Prof-specialty",0,0,50,"Male","Male","White","Not-in-family","Divorced","United-States",">50K",1,"adult.data",17359,"train_balanced","balanced"
40,"Private",9,"Transport-moving",0,0,35,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",28061,"train_balanced","balanced"
