"bias_level","group","income","n","group_total_n","proportion_within_group"
"balanced","Female","<=50K",8855,10000,0.8855
"balanced","Female",">50K",1145,10000,0.1145
"balanced","Male","<=50K",6873,10000,0.6873
"balanced","Male",">50K",3127,10000,0.3127
"mild","Female","<=50K",7070,8000,0.8838
"mild","Female",">50K",930,8000,0.1163
"mild","Male","<=50K",8335,12000,0.6946
"mild","Male",">50K",3665,12000,0.3054
"moderate","Female","<=50K",4456,5000,0.8912
"moderate","Female",">50K",544,5000,0.1088
"moderate","Male","<=50K",10278,15000,0.6852
"moderate","Male",">50K",4722,15000,0.3148
"severe","Female","<=50K",1759,2000,0.8795
"severe","Female",">50K",241,2000,0.1205
"severe","Male","<=50K",12337,18000,0.6854
"severe","Male",">50K",5663,18000,0.3146
