"age","workclass","education_num","occupation","capital_gain","capital_loss","hours_per_week","sex","group","race","relationship","marital_status","native_country","income","y","source_file","row_id","set_type","bias_level"
51,"Private",9,"Sales",0,0,31,"Female","Female","White","Other-relative","Divorced","United-States","<=50K",0,"adult.test",37461,"train_mild","mild"
42,"Self-emp-not-inc",13,"Farming-fishing",0,0,35,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",30429,"train_mild","mild"
35,"Private",11,"Exec-managerial",3103,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",33043,"train_mild","mild"
29,"Self-emp-not-inc",5,"Other-service",0,0,27,"Female","Female","White","Unmarried","Widowed","United-States","<=50K",0,"adult.test",34522,"train_mild","mild"
22,"Private",7,"Other-service",0,0,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.test",45638,"train_mild","mild"
35,"Private",13,"Exec-managerial",0,0,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",15701,"train_mild","mild"
42,"Private",9,"Craft-repair",0,0,43,"Male","Male","White","Not-in-family","Divorced","United-States",">50K",1,"adult.test",42874,"train_mild","mild"
33,"Local-gov",13,"Prof-specialty",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",6394,"train_mild","mild"
23,"Private",10,"Exec-managerial",0,0,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",28984,"train_mild","mild"
66,"Self-emp-not-inc",13,"Craft-repair",2290,0,40,"Male","Male","White","Husband","Married-civ-spouse","Germany","<=50K",0,"adult.test",42284,"train_mild","mild"
32,"Private",9,"Other-service",0,0,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.test",31690,"train_mild","mild"
36,"Private",13,"Exec-managerial",5178,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",39406,"train_mild","mild"
54,"Private",9,"Other-service",0,0,40,"Female","Female","White","Unmarried","Widowed","United-States","<=50K",0,"adult.data",12278,"train_mild","mild"
21,"State-gov",10,"Exec-managerial",0,0,40,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",28360,"train_mild","mild"
46,"Private",10,"Prof-specialty",0,0,40,"Female","Female","Black","Not-in-family","Divorced","United-States",">50K",1,"adult.test",38966,"train_mild","mild"
20,"Private",10,"Other-service",0,0,40,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",939,"train_mild","mild"
25,"Private",10,"Sales",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",18045,"train_mild","mild"
66,"Private",9,"Sales",0,0,16,"Female","Female","White","Not-in-family","Widowed","United-States","<=50K",0,"adult.test",35792,"train_mild","mild"
49,"Local-gov",14,"Exec-managerial",0,0,40,"Female","Female","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",28202,"train_mild","mild"
68,"Private",9,"Priv-house-serv",0,0,24,"Female","Female","Black","Unmarried","Divorced","United-States","<=50K",0,"adult.test",39439,"train_mild","mild"
28,"Private",10,"Sales",0,0,40,"Male","Male","Black","Own-child","Never-married","United-States","<=50K",0,"adult.data",25716,"train_mild","mild"
60,"Self-emp-not-inc",13,"Exec-managerial",0,1977,45,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",17006,"train_mild","mild"
47,"Private",14,"Machine-op-inspct",0,0,42,"Female","Female","Asian-Pac-Islander","Unmarried","Separated","India","<=50K",0,"adult.data",25646,"train_mild","mild"
39,"Private",13,"Adm-clerical",0,0,28,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.test",31169,"train_mild","mild"
34,"Private",13,"Craft-repair",0,0,40,"Male","Male","White","Unmarried","Never-married","United-States","<=50K",0,"adult.data",3831,"train_mild","mild"
