"age","workclass","education_num","occupation","capital_gain","capital_loss","hours_per_week","sex","group","race","relationship","marital_status","native_country","income","y","source_file","row_id","set_type","bias_level"
19,"Private",10,"Handlers-cleaners",0,0,20,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",8948,"train_moderate","moderate"
66,"Private",10,"Sales",0,0,50,"Female","Female","White","Unmarried","Widowed","United-States",">50K",1,"adult.data",27095,"train_moderate","moderate"
40,"Private",9,"Craft-repair",0,0,40,"Female","Female","White","Other-relative","Divorced","Vietnam","<=50K",0,"adult.data",12861,"train_moderate","moderate"
51,"Private",13,"Prof-specialty",0,0,50,"Female","Female","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",24758,"train_moderate","moderate"
30,"Private",9,"Other-service",0,0,40,"Female","Female","White","Not-in-family","Never-married","Ireland","<=50K",0,"adult.data",14302,"train_moderate","moderate"
47,"Private",14,"Exec-managerial",15024,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","Missing",">50K",1,"adult.data",23282,"train_moderate","moderate"
22,"Private",10,"Adm-clerical",0,0,35,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",3011,"train_moderate","moderate"
43,"Private",10,"Exec-managerial",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",11942,"train_moderate","moderate"
24,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",30324,"train_moderate","moderate"
56,"Private",9,"Sales",0,0,25,"Female","Female","White","Unmarried","Widowed","Mexico","<=50K",0,"adult.data",7248,"train_moderate","moderate"
56,"Private",13,"Sales",7688,0,45,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",8482,"train_moderate","moderate"
41,"Private",9,"Transport-moving",0,0,43,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.test",39980,"train_moderate","moderate"
24,"Private",13,"Tech-support",0,0,20,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.test",37352,"train_moderate","moderate"
17,"Local-gov",7,"Adm-clerical",0,0,15,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",12048,"train_moderate","moderate"
22,"Private",9,"Handlers-cleaners",0,0,50,"Male","Male","White","Other-relative","Never-married","United-States","<=50K",0,"adult.data",6302,"train_moderate","moderate"
37,"Private",13,"Prof-specialty",0,0,50,"Male","Male","Other","Husband","Married-civ-spouse","Missing",">50K",1,"adult.data",27464,"train_moderate","moderate"
43,"Private",15,"Prof-specialty",0,0,66,"Male","Male","White","Not-in-family","Never-married","France","<=50K",0,"adult.data",29510,"train_moderate","moderate"
28,"Private",13,"Adm-clerical",0,0,40,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.test",42945,"train_moderate","moderate"
35,"Private",10,"Prof-specialty",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",6828,"train_moderate","moderate"
41,"Private",5,"Other-service",0,0,40,"Male","Male","White","Not-in-family","Separated","United-States","<=50K",0,"adult.data",20159,"train_moderate","moderate"
41,"Private",9,"Craft-repair",0,1485,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",20498,"train_moderate","moderate"
48,"Private",10,"Adm-clerical",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",10950,"train_moderate","moderate"
19,"Private",10,"Sales",0,0,30,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",16922,"train_moderate","moderate"
46,"Private",10,"Adm-clerical",0,0,40,"Female","Female","White","Unmarried","Separated","United-States","<=50K",0,"adult.data",1980,"train_moderate","moderate"
35,"Private",14,"Prof-specialty",7298,0,40,"Male","Male","Black","Husband","Married-civ-spouse","Missing",">50K",1,"adult.data",29700,"train_moderate","moderate"
48,"Private",7,"Farming-fishing",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",12917,"train_moderate","moderate"
25,"Private",14,"Prof-specialty",0,0,45,"Male","Male","White","Unmarried","Never-married","Missing","<=50K",0,"adult.data",28210,"train_moderate","moderate"
25,"Private",10,"Exec-managerial",0,0,40,"Male","Male","Black","Own-child","Never-married","United-States","<=50K",0,"adult.data",12200,"train_moderate","moderate"
38,"Private",9,"Craft-repair",0,2205,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",12033,"train_moderate","moderate"
21,"Private",13,"Adm-clerical",0,0,40,"Male","Male","White","Not-in-family","Never-married","Columbia","<=50K",0,"adult.data",13617,"train_moderate","moderate"
41,"Private",10,"Craft-repair",0,0,45,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",18260,"train_moderate","moderate"
44,"Private",10,"Craft-repair",0,1876,55,"Male","Male","White","Not-in-family","Separated","United-States","<=50K",0,"adult.data",28530,"train_moderate","moderate"
22,"Private",9,"Other-service",0,0,40,"Female","Female","White","Unmarried","Never-married","United-States","<=50K",0,"adult.data",23077,"train_moderate","moderate"
47,"Local-gov",12,"Adm-clerical",0,0,35,"Female","Female","White","Wife","Married-civ-spouse","United-States",">50K",1,"adult.data",1743,"train_moderate","moderate"
55,"Private",9,"Prof-specialty",0,0,46,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",29419,"train_moderate","moderate"
23,"Private",10,"Adm-clerical",0,1617,25,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",9981,"train_moderate","moderate"
46,"Private",9,"Craft-repair",0,0,40,"Male","Male","Amer-Indian-Eskimo","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",19365,"train_moderate","moderate"
47,"Private",13,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",28130,"train_moderate","moderate"
32,"Private",10,"Transport-moving",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.test",32074,"train_moderate","moderate"
27,"Private",10,"Craft-repair",0,0,50,"Male","Male","White","Unmarried","Never-married","United-States","<=50K",0,"adult.data",27581,"train_moderate","moderate"
46,"Private",9,"Exec-managerial",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",43227,"train_moderate","moderate"
26,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",17300,"train_moderate","moderate"
27,"Private",9,"Craft-repair",5178,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",23603,"train_moderate","moderate"
45,"Private",4,"Machine-op-inspct",0,0,35,"Female","Female","Black","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",6888,"train_moderate","moderate"
38,"Private",10,"Adm-clerical",0,0,35,"Female","Female","White","Wife","Married-civ-spouse","United-States",">50K",1,"adult.data",5804,"train_moderate","moderate"
36,"Private",4,"Machine-op-inspct",0,0,40,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.test",43964,"train_moderate","moderate"
37,"Private",10,"Other-service",0,0,47,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",24410,"train_moderate","moderate"
30,"Private",10,"Craft-repair",0,0,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.test",42035,"train_moderate","moderate"
75,"Self-emp-not-inc",15,"Prof-specialty",0,0,35,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",1151,"train_moderate","moderate"
29,"Private",11,"Exec-managerial",0,2415,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",37411,"train_moderate","moderate"
61,"Private",2,"Machine-op-inspct",0,0,60,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",38579,"train_moderate","moderate"
28,"Private",9,"Machine-op-inspct",0,0,50,"Male","Male","Other","Own-child","Never-married","Puerto-Rico","<=50K",0,"adult.data",16481,"train_moderate","moderate"
57,"Self-emp-inc",4,"Exec-managerial",0,0,90,"Male","Male","White","Husband","Married-civ-spouse","Greece",">50K",1,"adult.test",36351,"train_moderate","moderate"
31,"Private",9,"Adm-clerical",0,0,37,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.data",20034,"train_moderate","moderate"
18,"Private",9,"Adm-clerical",0,0,40,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.test",40051,"train_moderate","moderate"
50,"Private",15,"Exec-managerial",15024,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",35411,"train_moderate","moderate"
41,"Private",9,"Other-service",0,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","China","<=50K",0,"adult.data",19059,"train_moderate","moderate"
25,"Private",14,"Sales",0,0,55,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",10299,"train_moderate","moderate"
36,"Federal-gov",10,"Adm-clerical",6497,0,56,"Female","Female","Black","Unmarried","Separated","United-States","<=50K",0,"adult.data",14191,"train_moderate","moderate"
37,"Private",14,"Exec-managerial",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",6203,"train_moderate","moderate"
