"age","workclass","education_num","occupation","capital_gain","capital_loss","hours_per_week","sex","group","race","relationship","marital_status","native_country","income","y","source_file","row_id","set_type"
39,"State-gov",13,"Adm-clerical",2174,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",1,"train_pool"
50,"Self-emp-not-inc",13,"Exec-managerial",0,0,13,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",2,"train_pool"
38,"Private",9,"Handlers-cleaners",0,0,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",3,"train_pool"
53,"Private",7,"Handlers-cleaners",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",4,"train_pool"
28,"Private",13,"Prof-specialty",0,0,40,"Female","Female","Black","Wife","Married-civ-spouse","Cuba","<=50K",0,"adult.data",5,"train_pool"
37,"Private",14,"Exec-managerial",0,0,40,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.data",6,"train_pool"
49,"Private",5,"Other-service",0,0,16,"Female","Female","Black","Not-in-family","Married-spouse-absent","Jamaica","<=50K",0,"adult.data",7,"train_pool"
52,"Self-emp-not-inc",9,"Exec-managerial",0,0,45,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",8,"train_pool"
31,"Private",14,"Prof-specialty",14084,0,50,"Female","Female","White","Not-in-family","Never-married","United-States",">50K",1,"adult.data",9,"train_pool"
42,"Private",13,"Exec-managerial",5178,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",10,"train_pool"
37,"Private",10,"Exec-managerial",0,0,80,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",11,"train_pool"
30,"State-gov",13,"Prof-specialty",0,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","India",">50K",1,"adult.data",12,"train_pool"
32,"Private",12,"Sales",0,0,50,"Male","Male","Black","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",14,"train_pool"
40,"Private",11,"Craft-repair",0,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","Missing",">50K",1,"adult.data",15,"train_pool"
34,"Private",4,"Transport-moving",0,0,45,"Male","Male","Amer-Indian-Eskimo","Husband","Married-civ-spouse","Mexico","<=50K",0,"adult.data",16,"train_pool"
25,"Self-emp-not-inc",9,"Farming-fishing",0,0,35,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",17,"train_pool"
32,"Private",9,"Machine-op-inspct",0,0,40,"Male","Male","White","Unmarried","Never-married","United-States","<=50K",0,"adult.data",18,"train_pool"
38,"Private",7,"Sales",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",19,"train_pool"
43,"Self-emp-not-inc",14,"Exec-managerial",0,0,45,"Female","Female","White","Unmarried","Divorced","United-States",">50K",1,"adult.data",20,"train_pool"
40,"Private",16,"Prof-specialty",0,0,60,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",21,"train_pool"
54,"Private",9,"Other-service",0,0,20,"Female","Female","Black","Unmarried","Separated","United-States","<=50K",0,"adult.data",22,"train_pool"
35,"Federal-gov",5,"Farming-fishing",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",23,"train_pool"
43,"Private",7,"Transport-moving",0,2042,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",24,"train_pool"
59,"Private",9,"Tech-support",0,0,40,"Female","Female","White","Unmarried","Divorced","United-States","<=50K",0,"adult.data",25,"train_pool"
56,"Local-gov",13,"Tech-support",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",26,"train_pool"
19,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",27,"train_pool"
39,"Private",9,"Exec-managerial",0,0,80,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",28,"train_pool"
49,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",29,"train_pool"
23,"Local-gov",12,"Protective-serv",0,0,52,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",30,"train_pool"
20,"Private",10,"Sales",0,0,44,"Male","Male","Black","Own-child","Never-married","United-States","<=50K",0,"adult.data",31,"train_pool"
45,"Private",13,"Exec-managerial",0,1408,40,"Male","Male","White","Own-child","Divorced","United-States","<=50K",0,"adult.data",32,"train_pool"
