"age","workclass","education_num","occupation","capital_gain","capital_loss","hours_per_week","sex","group","race","relationship","marital_status","native_country","income","y","source_file","row_id","set_type","bias_level"
41,"Private",14,"Prof-specialty",0,0,55,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","Taiwan",">50K",1,"adult.data",2145,"train_severe","severe"
42,"Private",10,"Craft-repair",0,0,52,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.test",31360,"train_severe","severe"
23,"Private",9,"Handlers-cleaners",0,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.test",36951,"train_severe","severe"
67,"Private",14,"Exec-managerial",0,0,55,"Male","Male","White","Not-in-family","Married-spouse-absent","United-States",">50K",1,"adult.data",18346,"train_severe","severe"
41,"Private",9,"Adm-clerical",0,0,40,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",24842,"train_severe","severe"
59,"Private",13,"Sales",0,0,55,"Male","Male","White","Not-in-family","Divorced","United-States",">50K",1,"adult.data",13728,"train_severe","severe"
59,"Local-gov",9,"Other-service",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.test",35392,"train_severe","severe"
30,"Private",13,"Sales",0,0,60,"Male","Male","White","Not-in-family","Never-married","United-States",">50K",1,"adult.data",21891,"train_severe","severe"
52,"State-gov",9,"Protective-serv",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",18590,"train_severe","severe"
41,"Private",13,"Craft-repair",3103,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",1040,"train_severe","severe"
28,"Private",13,"Prof-specialty",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",10801,"train_severe","severe"
61,"Private",16,"Prof-specialty",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",36083,"train_severe","severe"
24,"Private",9,"Machine-op-inspct",0,0,40,"Male","Male","Black","Unmarried","Never-married","United-States","<=50K",0,"adult.test",39017,"train_severe","severe"
27,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",30104,"train_severe","severe"
43,"Local-gov",6,"Other-service",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.test",45028,"train_severe","severe"
50,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.test",38483,"train_severe","severe"
21,"Private",9,"Farming-fishing",0,0,20,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",9899,"train_severe","severe"
28,"Private",9,"Craft-repair",0,0,60,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.test",33230,"train_severe","severe"
66,"Private",10,"Sales",0,0,24,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",20552,"train_severe","severe"
47,"Local-gov",14,"Exec-managerial",0,1977,50,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",10476,"train_severe","severe"
51,"Private",4,"Other-service",0,0,40,"Male","Male","Other","Not-in-family","Divorced","Peru","<=50K",0,"adult.test",38580,"train_severe","severe"
17,"Private",6,"Other-service",0,0,16,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.test",40453,"train_severe","severe"
32,"Private",11,"Craft-repair",0,0,45,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",15405,"train_severe","severe"
43,"Private",13,"Sales",0,0,50,"Male","Male","White","Not-in-family","Never-married","United-States",">50K",1,"adult.data",27426,"train_severe","severe"
52,"Self-emp-not-inc",15,"Prof-specialty",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",12248,"train_severe","severe"
53,"Self-emp-not-inc",15,"Prof-specialty",25236,0,60,"Male","Male","White","Unmarried","Divorced","United-States",">50K",1,"adult.test",31641,"train_severe","severe"
36,"Private",9,"Machine-op-inspct",4101,0,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",28722,"train_severe","severe"
40,"Self-emp-not-inc",15,"Prof-specialty",0,1977,60,"Male","Male","Amer-Indian-Eskimo","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",9666,"train_severe","severe"
46,"Private",9,"Tech-support",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",24449,"train_severe","severe"
31,"Private",7,"Craft-repair",0,0,40,"Male","Male","White","Not-in-family","Never-married","Ireland","<=50K",0,"adult.test",38544,"train_severe","severe"
24,"Private",10,"Other-service",0,0,30,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",26244,"train_severe","severe"
30,"Private",10,"Exec-managerial",0,0,52,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",28569,"train_severe","severe"
43,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Other-relative","Divorced","United-States","<=50K",0,"adult.data",4419,"train_severe","severe"
