"dataset","model","bias_level","feature_name","n_model_features"
"Adult","Logistic Regression","balanced","age",24
"Adult","Logistic Regression","balanced","capital_gain",24
"Adult","Logistic Regression","balanced","capital_loss",24
"Adult","Logistic Regression","balanced","education_num",24
"Adult","Logistic Regression","balanced","hours_per_week",24
"Adult","Logistic Regression","balanced","occupationArmed-Forces",24
"Adult","Logistic Regression","balanced","occupationCraft-repair",24
"Adult","Logistic Regression","balanced","occupationExec-managerial",24
"Adult","Logistic Regression","balanced","occupationFarming-fishing",24
"Adult","Logistic Regression","balanced","occupationHandlers-cleaners",24
"Adult","Logistic Regression","balanced","occupationMachine-op-inspct",24
"Adult","Logistic Regression","balanced","occupationOther-service",24
"Adult","Logistic Regression","balanced","occupationPriv-house-serv",24
"Adult","Logistic Regression","balanced","occupationProf-specialty",24
"Adult","Logistic Regression","balanced","occupationProtective-serv",24
"Adult","Logistic Regression","balanced","occupationSales",24
"Adult","Logistic Regression","balanced","occupationTech-support",24
"Adult","Logistic Regression","balanced","occupationTransport-moving",24
"Adult","Logistic Regression","balanced","workclassLocal-gov",24
"Adult","Logistic Regression","balanced","workclassPrivate",24
"Adult","Logistic Regression","balanced","workclassSelf-emp-inc",24
"Adult","Logistic Regression","balanced","workclassSelf-emp-not-inc",24
"Adult","Logistic Regression","balanced","workclassState-gov",24
"Adult","Logistic Regression","balanced","workclassWithout-pay",24
"Adult","Logistic Regression","mild","age",24
"Adult","Logistic Regression","mild","capital_gain",24
"Adult","Logistic Regression","mild","capital_loss",24
"Adult","Logistic Regression","mild","education_num",24
"Adult","Logistic Regression","mild","hours_per_week",24
"Adult","Logistic Regression","mild","occupationArmed-Forces",24
"Adult","Logistic Regression","mild","occupationCraft-repair",24
"Adult","Logistic Regression","mild","occupationExec-managerial",24
"Adult","Logistic Regression","mild","occupationFarming-fishing",24
"Adult","Logistic Regression","mild","occupationHandlers-cleaners",24
"Adult","Logistic Regression","mild","occupationMachine-op-inspct",24
"Adult","Logistic Regression","mild","occupationOther-service",24
"Adult","Logistic Regression","mild","occupationPriv-house-serv",24
"Adult","Logistic Regression","mild","occupationProf-specialty",24
"Adult","Logistic Regression","mild","occupationProtective-serv",24
"Adult","Logistic Regression","mild","occupationSales",24
"Adult","Logistic Regression","mild","occupationTech-support",24
"Adult","Logistic Regression","mild","occupationTransport-moving",24
"Adult","Logistic Regression","mild","workclassLocal-gov",24
"Adult","Logistic Regression","mild","workclassPrivate",24
"Adult","Logistic Regression","mild","workclassSelf-emp-inc",24
"Adult","Logistic Regression","mild","workclassSelf-emp-not-inc",24
"Adult","Logistic Regression","mild","workclassState-gov",24
"Adult","Logistic Regression","mild","workclassWithout-pay",24
"Adult","Logistic Regression","moderate","age",24
"Adult","Logistic Regression","moderate","capital_gain",24
"Adult","Logistic Regression","moderate","capital_loss",24
"Adult","Logistic Regression","moderate","education_num",24
"Adult","Logistic Regression","moderate","hours_per_week",24
"Adult","Logistic Regression","moderate","occupationArmed-Forces",24
"Adult","Logistic Regression","moderate","occupationCraft-repair",24
"Adult","Logistic Regression","moderate","occupationExec-managerial",24
"Adult","Logistic Regression","moderate","occupationFarming-fishing",24
"Adult","Logistic Regression","moderate","occupationHandlers-cleaners",24
"Adult","Logistic Regression","moderate","occupationMachine-op-inspct",24
"Adult","Logistic Regression","moderate","occupationOther-service",24
"Adult","Logistic Regression","moderate","occupationPriv-house-serv",24
"Adult","Logistic Regression","moderate","occupationProf-specialty",24
"Adult","Logistic Regression","moderate","occupationProtective-serv",24
"Adult","Logistic Regression","moderate","occupationSales",24
"Adult","Logistic Regression","moderate","occupationTech-support",24
"Adult","Logistic Regression","moderate","occupationTransport-moving",24
"Adult","Logistic Regression","moderate","workclassLocal-gov",24
"Adult","Logistic Regression","moderate","workclassPrivate",24
"Adult","Logistic Regression","moderate","workclassSelf-emp-inc",24
"Adult","Logistic Regression","moderate","workclassSelf-emp-not-inc",24
"Adult","Logistic Regression","moderate","workclassState-gov",24
"Adult","Logistic Regression","moderate","workclassWithout-pay",24
"Adult","Logistic Regression","severe","age",24
"Adult","Logistic Regression","severe","capital_gain",24
"Adult","Logistic Regression","severe","capital_loss",24
"Adult","Logistic Regression","severe","education_num",24
"Adult","Logistic Regression","severe","hours_per_week",24
"Adult","Logistic Regression","severe","occupationArmed-Forces",24
"Adult","Logistic Regression","severe","occupationCraft-repair",24
"Adult","Logistic Regression","severe","occupationExec-managerial",24
"Adult","Logistic Regression","severe","occupationFarming-fishing",24
"Adult","Logistic Regression","severe","occupationHandlers-cleaners",24
"Adult","Logistic Regression","severe","occupationMachine-op-inspct",24
"Adult","Logistic Regression","severe","occupationOther-service",24
"Adult","Logistic Regression","severe","occupationPriv-house-serv",24
"Adult","Logistic Regression","severe","occupationProf-specialty",24
"Adult","Logistic Regression","severe","occupationProtective-serv",24
"Adult","Logistic Regression","severe","occupationSales",24
"Adult","Logistic Regression","severe","occupationTech-support",24
"Adult","Logistic Regression","severe","occupationTransport-moving",24
"Adult","Logistic Regression","severe","workclassLocal-gov",24
"Adult","Logistic Regression","severe","workclassPrivate",24
"Adult","Logistic Regression","severe","workclassSelf-emp-inc",24
"Adult","Logistic Regression","severe","workclassSelf-emp-not-inc",24
"Adult","Logistic Regression","severe","workclassState-gov",24
"Adult","Logistic Regression","severe","workclassWithout-pay",24
