"dataset","model","bias_level","variable","importance"
"Adult","Decision Tree","balanced","capital_gain",946.005046540703
"Adult","Decision Tree","balanced","occupation",585.710593976429
"Adult","Decision Tree","balanced","age",345.415946141582
"Adult","Decision Tree","balanced","capital_loss",265.90137660513
"Adult","Decision Tree","balanced","education_num",265.785938936046
"Adult","Decision Tree","balanced","hours_per_week",103.208788322347
"Adult","Decision Tree","balanced","workclass",69.8728285626671
"Adult","Decision Tree","mild","capital_gain",1061.9344317439
"Adult","Decision Tree","mild","education_num",524.246234728646
"Adult","Decision Tree","mild","age",453.387128421682
"Adult","Decision Tree","mild","occupation",282.408198421989
"Adult","Decision Tree","mild","capital_loss",241.195275076666
"Adult","Decision Tree","mild","hours_per_week",122.316478714762
"Adult","Decision Tree","mild","workclass",36.9437456875032
"Adult","Decision Tree","moderate","capital_gain",1103.88162365689
"Adult","Decision Tree","moderate","education_num",646.248245475628
"Adult","Decision Tree","moderate","age",514.532398113375
"Adult","Decision Tree","moderate","occupation",366.706863725943
"Adult","Decision Tree","moderate","capital_loss",245.019849522662
"Adult","Decision Tree","moderate","hours_per_week",112.263818665446
"Adult","Decision Tree","moderate","workclass",23.2788671437268
"Adult","Decision Tree","severe","capital_gain",1117.72373325764
"Adult","Decision Tree","severe","education_num",719.470528800465
"Adult","Decision Tree","severe","age",584.932376418794
"Adult","Decision Tree","severe","occupation",435.717070956394
"Adult","Decision Tree","severe","capital_loss",269.254566306163
"Adult","Decision Tree","severe","hours_per_week",116.416859686034
"Adult","Decision Tree","severe","workclass",37.6742013881508
