"dataset","model","bias_level","variable","importance"
"Adult","Decision Tree","balanced","capital_gain",946.005
"Adult","Decision Tree","balanced","occupation",585.7106
"Adult","Decision Tree","balanced","age",345.4159
"Adult","Decision Tree","balanced","capital_loss",265.9014
"Adult","Decision Tree","balanced","education_num",265.7859
"Adult","Decision Tree","balanced","hours_per_week",103.2088
"Adult","Decision Tree","balanced","workclass",69.8728
"Adult","Decision Tree","mild","capital_gain",1061.9344
"Adult","Decision Tree","mild","education_num",524.2462
"Adult","Decision Tree","mild","age",453.3871
"Adult","Decision Tree","mild","occupation",282.4082
"Adult","Decision Tree","mild","capital_loss",241.1953
"Adult","Decision Tree","mild","hours_per_week",122.3165
"Adult","Decision Tree","mild","workclass",36.9437
"Adult","Decision Tree","moderate","capital_gain",1103.8816
"Adult","Decision Tree","moderate","education_num",646.2482
"Adult","Decision Tree","moderate","age",514.5324
"Adult","Decision Tree","moderate","occupation",366.7069
"Adult","Decision Tree","moderate","capital_loss",245.0198
"Adult","Decision Tree","moderate","hours_per_week",112.2638
"Adult","Decision Tree","moderate","workclass",23.2789
"Adult","Decision Tree","severe","capital_gain",1117.7237
"Adult","Decision Tree","severe","education_num",719.4705
"Adult","Decision Tree","severe","age",584.9324
"Adult","Decision Tree","severe","occupation",435.7171
"Adult","Decision Tree","severe","capital_loss",269.2546
"Adult","Decision Tree","severe","hours_per_week",116.4169
"Adult","Decision Tree","severe","workclass",37.6742
