"dataset","model","bias_level","variable","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"Adult","Random Forest","balanced","age",24.7007,86.3024,76.6303,977.2809
"Adult","Random Forest","balanced","capital_gain",186.8396,215.0271,234.4599,899.4683
"Adult","Random Forest","balanced","occupation",18.684,54.5155,62.1931,662.1929
"Adult","Random Forest","balanced","education_num",31.9474,80.743,79.5866,610.2983
"Adult","Random Forest","balanced","hours_per_week",12.5466,65.7234,56.068,574.4225
"Adult","Random Forest","balanced","capital_loss",74.9712,116.9265,107.6113,323.186
"Adult","Random Forest","balanced","workclass",36.6065,0.0591,37.8586,256.2551
"Adult","Random Forest","mild","age",34.2138,98.7804,94.8214,1037.6149
"Adult","Random Forest","mild","capital_gain",182.5273,202.2842,220.5732,964.7202
"Adult","Random Forest","mild","education_num",35.2053,90.4451,87.6162,673.3491
"Adult","Random Forest","mild","occupation",13.1564,55.1069,59.5858,636.219
"Adult","Random Forest","mild","hours_per_week",16.9071,62.9954,56.0924,578.8244
"Adult","Random Forest","mild","capital_loss",75.3155,104.9795,106.0302,323.2268
"Adult","Random Forest","mild","workclass",39.9996,5.4889,42.1785,269.074
"Adult","Random Forest","moderate","age",49.8088,117.2591,116.1773,1173.7838
"Adult","Random Forest","moderate","capital_gain",189.7926,189.3908,224.1893,984.7179
"Adult","Random Forest","moderate","education_num",35.883,119.1147,112.3943,810.6019
"Adult","Random Forest","moderate","occupation",10.7101,74.2648,73.4657,730.176
"Adult","Random Forest","moderate","hours_per_week",19.9312,58.3786,57.5311,625.3397
"Adult","Random Forest","moderate","capital_loss",64.5149,99.5859,90.7833,332.412
"Adult","Random Forest","moderate","workclass",41.0863,1.8012,38.5958,286.7486
"Adult","Random Forest","severe","age",46.9509,121.7077,114.4883,1261.911
"Adult","Random Forest","severe","capital_gain",193.9423,185.9457,223.9932,1002.7589
"Adult","Random Forest","severe","occupation",17.3481,75.9997,84.2232,844.4699
"Adult","Random Forest","severe","education_num",30.8369,112.2142,107.5588,842.3811
"Adult","Random Forest","severe","hours_per_week",21.7977,64.2296,61.261,656.2519
"Adult","Random Forest","severe","capital_loss",76.9911,92.9147,97.1332,392.669
"Adult","Random Forest","severe","workclass",34.198,7.9511,36.9235,294.8821
