"model","bias_level","n_seeds","mean_accuracy","sd_accuracy","mean_error_rate","sd_error_rate","mean_PR_gap","sd_PR_gap","mean_TPR_gap","sd_TPR_gap","mean_Error_gap","sd_Error_gap"
"Logistic Regression","balanced",30,0.8335,0.0048,0.1665,0.0048,0.0889,0.0082,0.0555,0.0283,0.1215,0.0072
"Logistic Regression","mild",30,0.8331,0.0044,0.1669,0.0044,0.0928,0.007,0.0583,0.0284,0.1134,0.008
"Logistic Regression","moderate",30,0.8317,0.0043,0.1683,0.0043,0.0963,0.0091,0.0518,0.0292,0.104,0.0072
"Logistic Regression","severe",30,0.8285,0.0036,0.1715,0.0036,0.0986,0.0093,0.0501,0.0271,0.0899,0.0077
"Decision Tree","balanced",30,0.8482,0.0053,0.1518,0.0053,0.0909,0.0093,0.0591,0.0265,0.1135,0.0128
"Decision Tree","mild",30,0.8487,0.0048,0.1513,0.0048,0.0966,0.0098,0.0596,0.0357,0.1045,0.0115
"Decision Tree","moderate",30,0.8452,0.0045,0.1548,0.0045,0.0977,0.0103,0.0538,0.0314,0.0929,0.0106
"Decision Tree","severe",30,0.8427,0.0053,0.1573,0.0053,0.0954,0.0102,0.0491,0.0271,0.0799,0.0116
"Random Forest","balanced",30,0.8495,0.0045,0.1505,0.0045,0.1017,0.0073,0.0643,0.0218,0.1053,0.0059
"Random Forest","mild",30,0.8483,0.0048,0.1517,0.0048,0.1052,0.0083,0.0721,0.0304,0.0966,0.0084
"Random Forest","moderate",30,0.8454,0.0043,0.1546,0.0043,0.1093,0.0104,0.076,0.027,0.0803,0.0061
"Random Forest","severe",30,0.8405,0.0045,0.1595,0.0045,0.1061,0.0086,0.0716,0.0252,0.0645,0.0081
