"model_label","bias_level","metric","fairness_gap"
"Logistic Regression","balanced","PR gap",0.084
"Logistic Regression","mild","PR gap",0.086
"Logistic Regression","moderate","PR gap",0.07
"Logistic Regression","severe","PR gap",0.088
"Decision Tree","balanced","PR gap",0.032
"Decision Tree","mild","PR gap",0.04
"Decision Tree","moderate","PR gap",0.072
"Decision Tree","severe","PR gap",0.116
"Random Forest","balanced","PR gap",0.054
"Random Forest","mild","PR gap",0.112
"Random Forest","moderate","PR gap",0.068
"Random Forest","severe","PR gap",0.058
"Logistic Regression","balanced","TPR gap",0.125139256688887
"Logistic Regression","mild","TPR gap",0.1380513195142
"Logistic Regression","moderate","TPR gap",0.133394210574377
"Logistic Regression","severe","TPR gap",0.154670806319058
"Decision Tree","balanced","TPR gap",0.0478129851155146
"Decision Tree","mild","TPR gap",0.0562870970687608
"Decision Tree","moderate","TPR gap",0.0634827869600949
"Decision Tree","severe","TPR gap",0.1746324536572
"Random Forest","balanced","TPR gap",0.0909505981188933
"Random Forest","mild","TPR gap",0.133503789608255
"Random Forest","moderate","TPR gap",0.13317505250662
"Random Forest","severe","TPR gap",0.111642772349557
"Logistic Regression","balanced","Error gap",0.032
"Logistic Regression","mild","Error gap",0.042
"Logistic Regression","moderate","Error gap",0.054
"Logistic Regression","severe","Error gap",0.056
"Decision Tree","balanced","Error gap",0.012
"Decision Tree","mild","Error gap",0.012
"Decision Tree","moderate","Error gap",0.012
"Decision Tree","severe","Error gap",0.048
"Random Forest","balanced","Error gap",0.03
"Random Forest","mild","Error gap",0.012
"Random Forest","moderate","Error gap",0.056
"Random Forest","severe","Error gap",0.046
