"model","bias_level","metric","delta_gap","model_label"
"logistic_regression","mild","Delta PR gap",0.00199999999999999,"Logistic Regression"
"logistic_regression","moderate","Delta PR gap",-0.014,"Logistic Regression"
"logistic_regression","severe","Delta PR gap",0.00399999999999999,"Logistic Regression"
"decision_tree","mild","Delta PR gap",0.008,"Decision Tree"
"decision_tree","moderate","Delta PR gap",0.04,"Decision Tree"
"decision_tree","severe","Delta PR gap",0.084,"Decision Tree"
"random_forest","mild","Delta PR gap",0.058,"Random Forest"
"random_forest","moderate","Delta PR gap",0.014,"Random Forest"
"random_forest","severe","Delta PR gap",0.004,"Random Forest"
"logistic_regression","mild","Delta TPR gap",0.012912062825313,"Logistic Regression"
"logistic_regression","moderate","Delta TPR gap",0.00825495388549,"Logistic Regression"
"logistic_regression","severe","Delta TPR gap",0.029531549630171,"Logistic Regression"
"decision_tree","mild","Delta TPR gap",0.0084741119532462,"Decision Tree"
"decision_tree","moderate","Delta TPR gap",0.0156698018445803,"Decision Tree"
"decision_tree","severe","Delta TPR gap",0.126819468541685,"Decision Tree"
"random_forest","mild","Delta TPR gap",0.0425531914893617,"Random Forest"
"random_forest","moderate","Delta TPR gap",0.0422244543877267,"Random Forest"
"random_forest","severe","Delta TPR gap",0.0206921742306637,"Random Forest"
"logistic_regression","mild","Delta Error gap",0.01,"Logistic Regression"
"logistic_regression","moderate","Delta Error gap",0.022,"Logistic Regression"
"logistic_regression","severe","Delta Error gap",0.024,"Logistic Regression"
"decision_tree","mild","Delta Error gap",0,"Decision Tree"
"decision_tree","moderate","Delta Error gap",0,"Decision Tree"
"decision_tree","severe","Delta Error gap",0.036,"Decision Tree"
"random_forest","mild","Delta Error gap",-0.018,"Random Forest"
"random_forest","moderate","Delta Error gap",0.026,"Random Forest"
"random_forest","severe","Delta Error gap",0.016,"Random Forest"
