"seed","model","bias_level","delta_accuracy","delta_PR_gap","delta_TPR_gap","delta_Error_gap"
1,"logistic_regression","mild",-0.00600000000000001,-0.00800000000000001,0.00394778839854182,-0.004
1,"logistic_regression","moderate",-0.005,-0.01,-0.0131536949619501,0.00199999999999995
1,"logistic_regression","severe",-0.003,0.002,0.00779478219967411,-0.00600000000000001
1,"decision_tree","mild",0.003,0.022,0.00514052446788854,0.022
1,"decision_tree","moderate",0.014,-0.012,-0.0154887698019386,0.004
1,"decision_tree","severe",0.00800000000000001,0.048,0.0325734540628622,0.02
1,"random_forest","mild",0.017,0.0259999999999999,0.0415945705310196,-0.014
1,"random_forest","moderate",-0.01,0.00800000000000001,0.063265408974079,0.012
1,"random_forest","severe",-0.003,-0.01,0.0203437095771667,-0.014
2,"logistic_regression","mild",0.002,0.02,0.0238125,0.004
2,"logistic_regression","moderate",-0.0089999999999999,0.022,0.00121875000000005,0.01
2,"logistic_regression","severe",-0.0099999999999999,0.024,-0.00240624999999994,0.016
2,"decision_tree","mild",0.014,-0.004,0.05859375,-0.004
2,"decision_tree","moderate",0.019,0.054,0.12846875,0.00600000000000001
2,"decision_tree","severe",0.019,-0.03,0.00531250000000005,-0.034
2,"random_forest","mild",0.014,-0.016,-0.000562500000000021,-0.016
2,"random_forest","moderate",0.004,-5.55111512312578e-17,0.02121875,-0.02
2,"random_forest","severe",0.02,-0.004,0.00800000000000001,-0.012
3,"logistic_regression","mild",0.00800000000000001,-0.02,-0.00816326530612255,-0.012
3,"logistic_regression","moderate",0.00600000000000001,-0.004,0.00826241427745178,-0.012
3,"logistic_regression","severe",0.005,0.022,0.0531603734611252,-0.03
3,"decision_tree","mild",-0.018,0.084,-0.0269024208873833,0.036
3,"decision_tree","moderate",-0.015,0.054,-0.0372965380484178,0.018
3,"decision_tree","severe",-0.035,0.206,0.185573824671569,-0.042
3,"random_forest","mild",-0.00700000000000001,-0.0460000000000001,-0.0239610014046105,-0.022
3,"random_forest","moderate",-0.004,0.00399999999999995,0.0206064612079649,-0.016
3,"random_forest","severe",-0.00900000000000001,0.05,0.0736015863835412,-0.022
4,"logistic_regression","mild",0.004,0.004,0.00953517938540738,0.004
4,"logistic_regression","moderate",0.001,0.00600000000000001,-0.000511643771899828,0.00600000000000001
4,"logistic_regression","severe",-0.00900000000000001,0.022,0.0439858600266675,0.03
4,"decision_tree","mild",0.0199999999999999,0.0720000000000001,0.023566622220844,-0.032
4,"decision_tree","moderate",0.015,0.018,-0.00390709789450849,-0.03
4,"decision_tree","severe",-0.023,0.154,0.149570529318738,0.022
4,"random_forest","mild",-0.00600000000000001,-0.028,-0.0277683028931129,-0.004
4,"random_forest","moderate",0.004,-0.052,-0.0230549784489441,0.02
4,"random_forest","severe",-0.0169999999999999,-0.0100000000000001,0.00525597692951729,0.022
