"model","bias_level","metric","fairness_gap","model_label"
"logistic_regression","balanced","Mean PR gap",0.1008,"Logistic Regression"
"logistic_regression","mild","Mean PR gap",0.106,"Logistic Regression"
"logistic_regression","moderate","Mean PR gap",0.1108,"Logistic Regression"
"logistic_regression","severe","Mean PR gap",0.1158,"Logistic Regression"
"decision_tree","balanced","Mean PR gap",0.0918,"Decision Tree"
"decision_tree","mild","Mean PR gap",0.123666666666667,"Decision Tree"
"decision_tree","moderate","Mean PR gap",0.114133333333333,"Decision Tree"
"decision_tree","severe","Mean PR gap",0.1382,"Decision Tree"
"random_forest","balanced","Mean PR gap",0.115733333333333,"Random Forest"
"random_forest","mild","Mean PR gap",0.119066666666667,"Random Forest"
"random_forest","moderate","Mean PR gap",0.120333333333333,"Random Forest"
"random_forest","severe","Mean PR gap",0.128666666666667,"Random Forest"
"logistic_regression","balanced","Mean TPR gap",0.0970211562421563,"Logistic Regression"
"logistic_regression","mild","Mean TPR gap",0.106478365437853,"Logistic Regression"
"logistic_regression","moderate","Mean TPR gap",0.109471669451371,"Logistic Regression"
"logistic_regression","severe","Mean TPR gap",0.118951707045593,"Logistic Regression"
"decision_tree","balanced","Mean TPR gap",0.0954247598031197,"Decision Tree"
"decision_tree","mild","Mean TPR gap",0.123431424524002,"Decision Tree"
"decision_tree","moderate","Mean TPR gap",0.115903033891475,"Decision Tree"
"decision_tree","severe","Mean TPR gap",0.145172982257418,"Decision Tree"
"random_forest","balanced","Mean TPR gap",0.11485495357409,"Random Forest"
"random_forest","mild","Mean TPR gap",0.115005264934081,"Random Forest"
"random_forest","moderate","Mean TPR gap",0.126484500467068,"Random Forest"
"random_forest","severe","Mean TPR gap",0.129812375897428,"Random Forest"
"logistic_regression","balanced","Mean Error gap",0.0186666666666667,"Logistic Regression"
"logistic_regression","mild","Mean Error gap",0.0168,"Logistic Regression"
"logistic_regression","moderate","Mean Error gap",0.0181333333333333,"Logistic Regression"
"logistic_regression","severe","Mean Error gap",0.0196666666666667,"Logistic Regression"
"decision_tree","balanced","Mean Error gap",0.0207333333333333,"Decision Tree"
"decision_tree","mild","Mean Error gap",0.0262,"Decision Tree"
"decision_tree","moderate","Mean Error gap",0.0209333333333333,"Decision Tree"
"decision_tree","severe","Mean Error gap",0.0226,"Decision Tree"
"random_forest","balanced","Mean Error gap",0.0234666666666667,"Random Forest"
"random_forest","mild","Mean Error gap",0.0202666666666667,"Random Forest"
"random_forest","moderate","Mean Error gap",0.0214,"Random Forest"
"random_forest","severe","Mean Error gap",0.0181333333333333,"Random Forest"
