"model","bias_level","mean_accuracy","mean_error_rate","mean_PR_gap","mean_TPR_gap","mean_Error_gap","sd_accuracy","sd_error_rate","sd_PR_gap","sd_TPR_gap","sd_Error_gap"
"logistic_regression","balanced",0.681466666666667,0.318533333333333,0.1008,0.0970211562421563,0.0186666666666667,0.0130059226119682,0.0130059226119682,0.0295604582111843,0.0384146764590884,0.0202490243840474
"logistic_regression","mild",0.682466666666667,0.317533333333333,0.106,0.106478365437853,0.0168,0.0148108379081073,0.0148108379081074,0.0349817686506991,0.0422805712223798,0.0163040083922688
"logistic_regression","moderate",0.681133333333333,0.318866666666667,0.1108,0.109471669451371,0.0181333333333333,0.0141925996581835,0.0141925996581835,0.0302705045923563,0.0411366601350144,0.0163321838675989
"logistic_regression","severe",0.680433333333333,0.319566666666667,0.1158,0.118951707045593,0.0196666666666667,0.0147055779549294,0.0147055779549294,0.0308515913634155,0.0424091743330112,0.0189233177329714
"decision_tree","balanced",0.6607,0.3393,0.0918,0.0954247598031197,0.0207333333333333,0.0159981679985661,0.0159981679985661,0.063178673835292,0.0666752349259776,0.0189989715390131
"decision_tree","mild",0.6595,0.3405,0.123666666666667,0.123431424524002,0.0262,0.0190185934430421,0.0190185934430421,0.0583239072844022,0.0613001482466262,0.0185721333704837
"decision_tree","moderate",0.660533333333333,0.339466666666667,0.114133333333333,0.115903033891475,0.0209333333333333,0.0180186365845981,0.0180186365845981,0.0464756023005125,0.0588408268886769,0.0174255724357234
"decision_tree","severe",0.655766666666667,0.344233333333333,0.1382,0.145172982257418,0.0226,0.0186449278178633,0.0186449278178633,0.0736334818895074,0.0830358817080076,0.0153321838649608
"random_forest","balanced",0.6732,0.3268,0.115733333333333,0.11485495357409,0.0234666666666667,0.0158166215495402,0.0158166215495402,0.0327360745159319,0.0458876131072543,0.0174824706952191
"random_forest","mild",0.6732,0.3268,0.119066666666667,0.115005264934081,0.0202666666666667,0.0165078873520383,0.0165078873520383,0.0390569286831533,0.0440906894318882,0.0144674029157426
"random_forest","moderate",0.672833333333333,0.327166666666667,0.120333333333333,0.126484500467068,0.0214,0.0163561299978249,0.0163561299978249,0.0376740405761492,0.0390599759876591,0.0154932688387682
"random_forest","severe",0.6726,0.3274,0.128666666666667,0.129812375897428,0.0181333333333333,0.0162174873686315,0.0162174873686316,0.0405593080718146,0.0477289230709025,0.0167079030099084
