"model","bias_level","mean_accuracy","mean_error_rate","mean_PR_gap","mean_TPR_gap","mean_Error_gap","sd_accuracy","sd_error_rate","sd_PR_gap","sd_TPR_gap","sd_Error_gap"
"logistic_regression","balanced",0.681,0.319,0.101,0.097,0.019,0.013,0.013,0.03,0.038,0.02
"logistic_regression","mild",0.682,0.318,0.106,0.106,0.017,0.015,0.015,0.035,0.042,0.016
"logistic_regression","moderate",0.681,0.319,0.111,0.109,0.018,0.014,0.014,0.03,0.041,0.016
"logistic_regression","severe",0.68,0.32,0.116,0.119,0.02,0.015,0.015,0.031,0.042,0.019
"decision_tree","balanced",0.661,0.339,0.092,0.095,0.021,0.016,0.016,0.063,0.067,0.019
"decision_tree","mild",0.659,0.34,0.124,0.123,0.026,0.019,0.019,0.058,0.061,0.019
"decision_tree","moderate",0.661,0.339,0.114,0.116,0.021,0.018,0.018,0.046,0.059,0.017
"decision_tree","severe",0.656,0.344,0.138,0.145,0.023,0.019,0.019,0.074,0.083,0.015
"random_forest","balanced",0.673,0.327,0.116,0.115,0.023,0.016,0.016,0.033,0.046,0.017
"random_forest","mild",0.673,0.327,0.119,0.115,0.02,0.017,0.017,0.039,0.044,0.014
"random_forest","moderate",0.673,0.327,0.12,0.126,0.021,0.016,0.016,0.038,0.039,0.015
"random_forest","severe",0.673,0.327,0.129,0.13,0.018,0.016,0.016,0.041,0.048,0.017
