"seed","dataset","model","bias_level","accuracy","error_rate","PR_gap","TPR_gap","Error_gap"
1,"simulated","logistic_regression","balanced",0.666,0.334,0.128,0.126245233255498,0.00800000000000001
1,"simulated","logistic_regression","mild",0.66,0.34,0.12,0.130193021654039,0.004
1,"simulated","logistic_regression","moderate",0.661,0.339,0.118,0.113091538293547,0.00999999999999995
1,"simulated","logistic_regression","severe",0.663,0.337,0.13,0.134040015455172,0.002
1,"simulated","decision_tree","balanced",0.639,0.361,0.126,0.127975540511029,0.002
1,"simulated","decision_tree","mild",0.642,0.358,0.148,0.133116064978917,0.024
1,"simulated","decision_tree","moderate",0.653,0.347,0.114,0.11248677070909,0.00600000000000001
1,"simulated","decision_tree","severe",0.647,0.353,0.174,0.160548994573891,0.022
1,"simulated","random_forest","balanced",0.653,0.347,0.11,0.0937557746904766,0.022
1,"simulated","random_forest","mild",0.67,0.33,0.136,0.135350345221496,0.00800000000000001
1,"simulated","random_forest","moderate",0.643,0.357,0.118,0.157021183664556,0.034
1,"simulated","random_forest","severe",0.65,0.35,0.1,0.114099484267643,0.00800000000000001
2,"simulated","logistic_regression","balanced",0.693,0.307,0.038,0.03884375,0.00600000000000001
2,"simulated","logistic_regression","mild",0.695,0.305,0.0580000000000001,0.06265625,0.01
2,"simulated","logistic_regression","moderate",0.684,0.316,0.06,0.0400625,0.016
2,"simulated","logistic_regression","severe",0.683,0.317,0.062,0.0364375,0.022
2,"simulated","decision_tree","balanced",0.655,0.345,0.0659999999999999,0.02721875,0.034
2,"simulated","decision_tree","mild",0.669,0.331,0.0619999999999999,0.0858125,0.03
2,"simulated","decision_tree","moderate",0.674,0.326,0.12,0.1556875,0.04
2,"simulated","decision_tree","severe",0.674,0.326,0.036,0.03253125,0
2,"simulated","random_forest","balanced",0.658,0.342,0.08,0.0516875,0.024
2,"simulated","random_forest","mild",0.672,0.328,0.0640000000000001,0.051125,0.00800000000000001
2,"simulated","random_forest","moderate",0.662,0.338,0.08,0.07290625,0.004
2,"simulated","random_forest","severe",0.678,0.322,0.076,0.0596875,0.012
3,"simulated","logistic_regression","balanced",0.674,0.326,0.084,0.0109063868462366,0.072
3,"simulated","logistic_regression","mild",0.682,0.318,0.064,0.00274312154011402,0.06
3,"simulated","logistic_regression","moderate",0.68,0.32,0.08,0.0191688011236884,0.06
3,"simulated","logistic_regression","severe",0.679,0.321,0.106,0.0640667603073618,0.042
3,"simulated","decision_tree","balanced",0.677,0.323,0.01,0.0381062546476081,0.046
3,"simulated","decision_tree","mild",0.659,0.341,0.094,0.0112038337602248,0.082
3,"simulated","decision_tree","moderate",0.662,0.338,0.064,0.000809716599190269,0.064
3,"simulated","decision_tree","severe",0.642,0.358,0.216,0.223680079319177,0.004
3,"simulated","random_forest","balanced",0.66,0.34,0.124,0.0639015120218128,0.06
3,"simulated","random_forest","mild",0.653,0.347,0.078,0.0399405106172023,0.038
3,"simulated","random_forest","moderate",0.656,0.344,0.128,0.0845079732297778,0.044
3,"simulated","random_forest","severe",0.651,0.349,0.174,0.137503098405354,0.038
4,"simulated","logistic_regression","balanced",0.703,0.297,0.056,0.0779559056094762,0.002
